subgroup,n,prevalence,pred_pos_rate,auroc,tpr,fpr,ppv,ece,attribute,dpd,tpr_gap,fpr_gap,ppv_gap,auroc_gap,eod,reference_group,model
White,829,0.46562123039806996,0.41254523522316044,0.6756979613796653,0.5492227979274611,0.29345372460496616,0.6198830409356725,0.013387003013429037,race,0.0,0.0,0.0,0.0,0.0,0.0,White,LR
Black,332,0.572289156626506,0.5933734939759037,0.6633432171979244,0.6736842105263158,0.4859154929577465,0.649746192893401,0.051137823014969185,race,0.18082825875274322,0.12446141259885468,0.19246176835278034,0.029863151957728484,-0.012354744181740873,0.19246176835278034,White,LR
Other,90,0.45555555555555555,0.4888888888888889,0.611747137879542,0.5853658536585366,0.40816326530612246,0.5454545454545454,0.09213715372509128,race,0.07634365366572843,0.03614305573107546,0.1147095407011563,-0.07442849548112707,-0.06395082350012327,0.1147095407011563,White,LR
Hispanic,149,0.5167785234899329,0.5167785234899329,0.6951659451659452,0.6363636363636364,0.3888888888888889,0.6363636363636364,0.08827796096014293,race,0.10423328826677247,0.08714083843617526,0.09543516428392274,0.016480595427963873,0.019467983786279897,0.09543516428392274,White,LR
Asian,100,0.45,0.43,0.7046464646464646,0.6,0.2909090909090909,0.627906976744186,0.09759724180669699,race,0.01745476477683955,0.050777202072538885,-0.0025446336958752647,0.008023935808513571,0.02894850326679932,0.050777202072538885,White,LR
Male,853,0.5005861664712778,0.451348182883939,0.6821475299886752,0.5667447306791569,0.33568075117370894,0.6285714285714286,0.02680633690763463,sex,0.0,0.0,0.0,0.0,0.0,0.0,Male,LR
Female,647,0.482225656877898,0.49149922720247297,0.6737275162648297,0.6346153846153846,0.3582089552238806,0.6226415094339622,0.04759030387256531,sex,0.040151044318533946,0.06787065393622771,0.02252820405017164,-0.005929919137466322,-0.008420013723845488,0.06787065393622771,Male,LR
Private,496,0.5020161290322581,0.5161290322580645,0.6733330081459442,0.6345381526104418,0.3967611336032389,0.6171875,0.03558518866322759,insurance,0.055079747679368185,0.06671480876186131,0.0441970310391363,-0.0035021551724138122,0.00627201971271607,0.06671480876186131,Medicare,LR
Medicaid,284,0.46830985915492956,0.4225352112676056,0.6971567992829756,0.5864661654135338,0.2781456953642384,0.65,0.03500480284600926,insurance,-0.03851407331109069,0.018642821564953338,-0.0744184071998642,0.02931034482758621,0.03009581084974744,0.0744184071998642,Medicare,LR
Medicare,629,0.5039745627980922,0.4610492845786963,0.6670609884332281,0.5678233438485805,0.3525641025641026,0.6206896551724138,0.035775952159954015,insurance,0.0,0.0,0.0,0.0,0.0,0.0,Medicare,LR
