race,feature,mean_shap
White,age,-0.00068
White,heart_rate,0.00075
White,map,0.00076
White,spo2,-0.00169
White,temperature,2e-05
White,resp_rate,-0.00293
White,wbc,-0.00195
White,lactate,-0.0173
White,creatinine,-0.00807
White,bilirubin,0.0023
White,platelet,-0.00338
White,sofa_score,-0.04599
White,charlson_index,-0.00425
White,vasopressor_use,-0.00265
White,mechanical_vent,-0.00634
White,time_to_antibiotics_h,-0.03296
Black,age,-0.00025
Black,heart_rate,0.00329
Black,map,0.003
Black,spo2,-0.00405
Black,temperature,0.00649
Black,resp_rate,0.00346
Black,wbc,0.00066
Black,lactate,0.00192
Black,creatinine,-0.01343
Black,bilirubin,-7e-05
Black,platelet,0.00236
Black,sofa_score,0.08262
Black,charlson_index,0.01202
Black,vasopressor_use,0.00412
Black,mechanical_vent,0.01581
Black,time_to_antibiotics_h,0.07586
Other,age,-0.01903
Other,heart_rate,-0.00699
Other,map,0.00935
Other,spo2,0.00237
Other,temperature,0.0031
Other,resp_rate,-0.01051
Other,wbc,-0.00942
Other,lactate,0.00634
Other,creatinine,0.02862
Other,bilirubin,0.0029
Other,platelet,-0.0089
Other,sofa_score,-0.12515
Other,charlson_index,0.00154
Other,vasopressor_use,0.00756
Other,mechanical_vent,-0.00182
Other,time_to_antibiotics_h,-0.02261
Hispanic,age,0.00545
Hispanic,heart_rate,0.00428
Hispanic,map,0.00435
Hispanic,spo2,0.00268
Hispanic,temperature,-0.00401
Hispanic,resp_rate,0.00048
Hispanic,wbc,0.01029
Hispanic,lactate,0.01574
Hispanic,creatinine,0.00056
Hispanic,bilirubin,0.00156
Hispanic,platelet,0.00806
Hispanic,sofa_score,0.09606
Hispanic,charlson_index,-0.00172
Hispanic,vasopressor_use,0.02811
Hispanic,mechanical_vent,0.0071
Hispanic,time_to_antibiotics_h,0.01078
Asian,age,0.03826
Asian,heart_rate,-0.01086
Asian,map,0.01128
Asian,spo2,-0.00436
Asian,temperature,0.00638
Asian,resp_rate,0.00937
Asian,wbc,-0.00607
Asian,lactate,0.03844
Asian,creatinine,0.04343
Asian,bilirubin,0.00508
Asian,platelet,-0.0221
Asian,sofa_score,-0.07259
Asian,charlson_index,-0.01644
Asian,vasopressor_use,0.00801
Asian,mechanical_vent,-0.01626
Asian,time_to_antibiotics_h,-0.02861
